Feature,Importance
Path_Length,970
Domain_Length,727
Host_Length,708
Brand_Edit_Distance,531
Dots,408
Average_Token_Length,389
Entropy,357
Special_Ratio,357
Max_Consecutive_Digits,348
Slashes,335
Maximum_Token_Length,315
Hyphens,313
Subdomains,301
Query_Length,266
Digits,228
Character_Diversity,223
Letter_Ratio,219
Max_Consecutive_Letters,200
HTTPS,189
Suspicious_Keyword_Count,188
URL_Length,184
Token_Count,131
Letters,117
Special_Characters,112
Digit_Ratio,110
Typosquat_Suspected,106
Underscores,106
Brand_Count,93
High_Risk_TLD,93
AtSymbols,85
Equals,74
Shortened_URL,69
Unique_Characters,65
QuestionMarks,44
Ampersands,24
Brand_Domain_Mismatch,11
Brand_Exact_Domain,4
Fragment_Length,0
Lowercase,0
Uppercase,0
Port_Present,0
IP_Address,0
Upper_Ratio,0
Colons,0
Percents,0
Lower_Ratio,0
Max_Consecutive_Special,0
